"Kod"	"Överordnad kod"	"Titel"	"Förkortning(ar)"	"Beskrivning"	"Exempel"	"Innefattar"	"Utesluter"	"Kodningsinformation"
"EGU"	"EG"	"Avlägsnande av implantat och externt fixationsmaterial från käkleder"	""	""	""	""	""	""
"EGU00"	"EGU"	"Avlägsnande av implantat eller externt fixationsmaterial från käkled"	""	""	""	""	""	""
"EGW"	"EG"	"Andra operationer på käkleder"	""	""	""	""	""	""
"EGW99"	"EGW"	"Annan operation på käkled"	""	""	""	""	""	""
"EH"	"E"	"Operationer på gommen"	""	""	""	""	"Punktion, punktionsbiopsi och andra mindre operationer, se TE"	""
"EHA"	"EH"	"Incisioner i och biopsier av gommen"	""	""	""	""	""	""
"EHA00"	"EHA"	"Incision av gom"	""	""	""	""	""	""
"EHA10"	"EHA"	"Biopsi av gom"	""	""	""	""	""	""
"EHB"	"EH"	"Resektioner av gommen"	""	""	""	""	""	""
"EHB00"	"EHB"	"Excision av lokal förändring i gom"	""	""	""	"Avlägsnande av främmande kropp"	""	""
"EHB99"	"EHB"	"Annan resektion av gom"	""	""	""	""	""	""
"EHC"	"EH"	"Rekonstruktiva ingrepp på gommen"	""	""	""	""	""	"Tilläggskoder för specifikation av transplantat eller lambå, se ZZ"
"EHC00"	"EHC"	"Sutur av gom"	""	""	""	"Ev. revision"	""	""
"EHC10"	"EHC"	"Plastikoperation vid oronasal eller oroantral fistel i gom"	""	""	""	""	""	""
"EHC20"	"EHC"	"Sårrevision av gom"	""	""	""	""	""	""
"EHC30"	"EHC"	"Plastikoperation vid gomspalt"	""	""	""	""	""	""
"EHC31"	"EHC"	"Främre partiell rekonstruktion av gom"	""	""	""	"Steg 1 i tvåstegsrekonstruktion av kluven gom"	""	""
"EHC32"	"EHC"	"Bakre partiell rekonstruktion av gom"	""	""	""	"Steg 2 i tvåstegsrekonstruktion av kluven gom"	""	""
"EHC40"	"EHC"	"Plastikoperation vid dold gomspalt"	""	""	""	""	""	""
"EHC45"	"EHC"	"Sekundär rekonstruktion av gom vid gomspalt"	""	""	""	""	""	""
"EHC50"	"EHC"	"Rekonstruktion med farynxlambå vid gomspalt"	""	""	""	""	""	""
"EHC60"	"EHC"	"Rekonstruktion vid kombinerad läpp- och gomspalt"	""	""	""	""	""	""
"EHC99"	"EHC"	"Annan rekonstruktion av gom"	""	""	""	""	""	""
"EHU"	"EH"	"Avlägsnande av implantat och externt fixationsmaterial från gommen"	""	""	""	""	""	""
"EHU00"	"EHU"	"Avlägsnande av implantat eller externt fixationsmaterial från gom"	""	""	""	""	""	""
"EHW"	"EH"	"Andra operationer på gommen"	""	""	""	""	""	""
"EHW99"	"EHW"	"Annan operation på gom"	""	""	""	""	""	""
"EJ"	"E"	"Operationer på tungan och munbottnen"	""	""	""	""	""	""
"EJA"	"EJ"	"Incisioner i och biopsier av tungan och munbottnen"	""	""	""	""	""	""
"EJA00"	"EJA"	"Incision i tunga eller munbotten"	""	""	""	"Ev. dränage"	""	""
"EJA10"	"EJA"	"Biopsi av tunga eller munbotten"	""	""	""	""	""	""
"EJA20"	"EJA"	"Avlägsnande av främmande kropp från tunga eller munbotten"	""	""	""	""	""	""
"EJB"	"EJ"	"Resektioner och exstirpationer av tungan och munbottnen"	""	""	""	""	""	""
"EJB00"	"EJB"	"Exstirpation av ranula"	""	""	""	""	""	""
"EJB10"	"EJB"	"Exstirpation av tungtumör"	""	""	""	""	"Tungbastumör"	""
"EJB20"	"EJB"	"Exstirpation av tungbastumör"	""	""	""	""	""	""
"EJB30"	"EJB"	"Exstirpation av munbottentumör"	""	""	""	""	""	""
"EJB40"	"EJB"	"Hemiglossektomi"	""	""	""	""	""	""
"EJB50"	"EJB"	"Glossektomi"	""	""	""	""	""	""
"EJB60"	"EJB"	"Resektion av munbotten"	""	""	""	""	""	""
"EJB99"	"EJB"	"Annan resektion av tunga eller munbotten"	""	""	""	""	""	""
"EJC"	"EJ"	"Rekonstruktiva ingrepp på tungan och munbottnen"	""	""	""	""	""	"Tilläggskoder för specifikation av transplantat eller lambå, se ZZ"
"EJC00"	"EJC"	"Sutur av tunga eller munbotten"	""	""	""	"Ev. revision"	""	""
"EJC20"	"EJC"	"Tungbandsplastik"	""	"Avser även tungbandsklipp"	""	""	""	""
"EJC30"	"EJC"	"Tungplastik"	""	""	""	""	""	""
"EJC40"	"EJC"	"Glossopexi"	""	""	""	""	""	""
"EJC50"	"EJC"	"Reducerande glossoplastik"	""	""	""	""	""	"Tilläggskod för användande av laser, radiovågor eller ultraljud, se ZXC"
"EJC99"	"EJC"	"Annan rekonstruktion av tunga eller munbotten"	""	""	""	""	""	""
"EJW"	"EJ"	"Andra operationer på tungan och munbottnen"	""	""	""	""	""	""
"EJW99"	"EJW"	"Annan operation på tunga eller munbotten"	""	""	""	""	""	""
"EK"	"E"	"Operationer på kinder"	""	""	""	""	"Operationer begränsade till hud och subkutan vävnad, se QA"	""
"EKA"	"EK"	"Incisioner i och biopsier av kinder"	""	""	""	""	""	""
"EKA00"	"EKA"	"Incision i kind"	""	""	""	"Ev. dränage"	""	""
"EKA10"	"EKA"	"Biopsi av kind"	""	""	""	""	""	""
"EKB"	"EK"	"Resektioner av kinder"	""	""	""	""	""	""
"EKB00"	"EKB"	"Exstirpation av lokal förändring i kind"	""	""	""	""	""	""
"EKB99"	"EKB"	"Annan resektion av kind"	""	""	""	""	""	""
"EKC"	"EK"	"Rekonstruktiva operationer på kinder"	""	""	""	""	""	"Tilläggskoder för specifikation av transplantat eller lambå, se ZZ"
"EKC00"	"EKC"	"Sutur av kind"	""	""	""	"Ev. revision"	""	""
"EKC10"	"EKC"	"Avlägsnande av främmande kropp från kind"	""	""	""	""	"Avlägsnande av främmande kropp från hud eller subkutan vävnad av kind, se QAC00"	""
"EKC20"	"EKC"	"Plastikoperation av kind"	""	""	""	""	""	""
"EKC30"	"EKC"	"Rekonstruktion av kind"	""	""	""	""	""	""
"EKC99"	"EKC"	"Annat rekonstruktivt ingrepp på kind"	""	""	""	""	""	""
"EKW"	"EK"	"Andra operationer på kinder"	""	""	""	""	""	""
"EKW99"	"EKW"	"Annan operation på kind"	""	""	""	""	""	""
"EL"	"E"	"Operationer på spottkörtlar"	""	""	""	""	""	""
"ELA"	"EL"	"Incisioner i och biopsier av spottkörtlar"	""	""	""	""	""	""
"ELA00"	"ELA"	"Incision i spottkörtel"	""	""	""	"Ev. dränage"	""	""
"ELA10"	"ELA"	"Sialodokotomi"	""	"Uppklippning och plastik av spottkörtelgång"	""	""	""	""
"ELA20"	"ELA"	"Sialolitotomi"	""	""	""	""	""	""
"ELA30"	"ELA"	"Biopsi av spottkörtel"	""	""	""	""	""	""
"ELB"	"EL"	"Resektioner och exstirpationer av spottkörtlar"	""	""	""	""	""	""
"ELB00"	"ELB"	"Exstirpation eller exploration av lokal förändring i spottkörtel"	""	""	""	"Enukleation av t.ex. tumör, avlägsnande av främmande kropp"	""	""
"ELB10"	"ELB"	"Exstirpation av glandula salivaria minor"	""	""	""	""	""	""
"ELB20"	"ELB"	"Exstirpation av glandula sublingualis"	""	""	""	""	""	""
"ELB30"	"ELB"	"Exstirpation av glandula submandibularis"	""	""	""	""	""	""
"ELB40"	"ELB"	"Resektion av glandula parotis"	""	""	""	""	""	""
"ELB50"	"ELB"	"Exstirpation av glandula parotis"	""	""	""	""	""	""
"ELB99"	"ELB"	"Annan resektion eller excision av spottkörtel"	""	""	""	""	""	""
"ELC"	"EL"	"Rekonstruktiva ingrepp på spottkörtlar"	""	""	""	""	""	""
"ELC00"	"ELC"	"Sutur av spottkörtel"	""	""	""	"Ev. revision"	""	""
"ELC30"	"ELC"	"Ligatur av spottkörtelgång"	""	""	""	""	""	""
"ELC40"	"ELC"	"Rekonstruktion av spottkörtelgång"	""	""	""	""	""	""
"ELC50"	"ELC"	"Translokation av spottkörtelgång"	""	""	""	""	""	""
"ELC60"	"ELC"	"Fisteloperation på spottkörtel"	""	""	""	""	""	""
"ELC99"	"ELC"	"Annan rekonstruktion av spottkörtel"	""	""	""	""	""	""
"ELW"	"EL"	"Andra operationer på spottkörtlar"	""	""	""	""	""	""
"ELW99"	"ELW"	"Annan operation på spottkörtel"	""	""	""	""	""	""
"EM"	"E"	"Operationer på tonsiller och adenoider"	""	""	""	""	""	""
"EMA"	"EM"	"Incisioner i och biopsier av tonsiller och adenoider"	""	""	""	""	""	""
"EMA00"	"EMA"	"Incision i tonsill"	""	""	""	""	""	""
"EMA10"	"EMA"	"Biopsi av tonsill"	""	""	""	""	""	""
"EMA20"	"EMA"	"Incision i adenoid"	""	""	""	""	""	""
"EMA30"	"EMA"	"Biopsi av nasofarynx"	""	""	""	""	""	""
"EMB"	"EM"	"Resektioner och exstirpationer av tonsiller och adenoider"	""	""	""	""	""	""
"EMB00"	"EMB"	"Exstirpation av tumör i tonsill eller adenoid"	""	""	""	""	""	""
"EMB10"	"EMB"	"Tonsillektomi"	""	""	""	""	""	""
"EMB15"	"EMB"	"Intrakapsulär destruktion av tonsill"	""	""	""	"Partiell tonsillektomi och s.k. tonsillotomi"	""	"Tilläggskod för användande av laser eller relaterad teknik, se ZXC"
"EMB20"	"EMB"	"Adenotonsillektomi"	""	""	""	""	""	""
"EMB30"	"EMB"	"Adenoidektomi"	""	""	""	""	""	""
"EMB99"	"EMB"	"Annan resektion eller excision av tonsill eller adenoid"	""	""	""	""	""	""
"EMC"	"EM"	"Rekonstruktiva ingrepp på tonsiller och adenoider"	""	""	""	""	""	""
"EMC00"	"EMC"	"Sutur av tonsill eller adenoid"	""	""	""	"Ev. revision"	""	""
"EMC10"	"EMC"	"Avlägsnande av främmande kropp från tonsill eller adenoid"	""	""	""	""	""	""
"EMC99"	"EMC"	"Annat rekonstruktivt ingrepp på tonsill eller adenoid"	""	""	""	""	""	""
"EMW"	"EM"	"Andra operationer på tonsiller och adenoider"	""	""	""	""	""	""
"EMW99"	"EMW"	"Annan operation på tonsill eller adenoid"	""	""	""	""	""	""
"EN"	"E"	"Operationer på svalget och närliggande mjukdelar"	""	""	""	""	""	""
"ENA"	"EN"	"Incisioner i och biopsier av svalget och närliggande mjukdelar"	""	""	""	"Faryngostomi"	""	""
"ENA00"	"ENA"	"Incision i farynx eller närliggande mjukdelar"	""	"Avser även incision av peritonsillit"	""	"Ev. dränage"	""	""
"ENA10"	"ENA"	"Biopsi av farynx eller närliggande mjukdelar"	""	""	""	""	""	""
"ENA20"	"ENA"	"Faryngotomi"	""	""	""	""	""	""
"ENA30"	"ENA"	"Faryngostomi"	""	""	""	""	""	""
"ENB"	"EN"	"Resektioner av svalget och närliggande mjukdelar"	""	""	""	""	""	""
"ENB00"	"ENB"	"Excision eller exploration av lokal förändring i farynx"	""	""	""	""	""	""
"ENB10"	"ENB"	"Exstirpation av hypofarynxdivertikel"	""	""	""	""	""	""
"ENB20"	"ENB"	"Faryngektomi"	""	""	""	""	""	""
"ENB30"	"ENB"	"Laryngofaryngektomi"	""	""	""	""	""	""
"ENB40"	"ENB"	"Exstirpation av lateral halscysta eller -fistel"	""	""	""	""	"Avlägsnande av preaurikulär fistel, se DAB20"	""
"ENB50"	"ENB"	"Exstirpation av ductus thyreoglossus"	""	""	""	"Medial halscysta eller -fistel"	""	""
"ENB60"	"ENB"	"Exstirpation av processus styloideus"	""	""	""	""	""	""
"ENB99"	"ENB"	"Annan resektion av farynx eller närliggande mjukdelar"	""	""	""	""	""	""
"ENC"	"EN"	"Rekonstruktiva ingrepp på svalget och närliggande mjukdelar"	""	""	""	""	""	""
"ENC00"	"ENC"	"Sutur av farynx eller närliggande mjukdelar"	""	""	""	"Ev. revision"	""	""
"ENC10"	"ENC"	"Avlägsnande av främmande kropp från farynx eller närliggande mjukdelar"	""	""	""	""	""	""
"ENC20"	"ENC"	"Myotomi av m. cricopharyngeus"	""	""	""	""	""	""
"ENC30"	"ENC"	"Plastikoperation av farynx"	""	""	""	"Uvulaplastik"	""	""
"ENC40"	"ENC"	"Uvulo-palato-faryngoplastik"	""	""	""	""	""	""
"ENC45"	"ENC"	"Reducerande palato-faryngoplastik med användning av elektromagnetisk eller akustisk energi"	""	"Behandling av övre luftvägsobstruktiv sömnstörning med användande av laser, radiovågor eller ultraljud"	""	""	""	"Tilläggskod för teknik, se ZXC"
"ENC50"	"ENC"	"Slutning av farynxfistel"	""	""	""	""	""	""
"ENC60"	"ENC"	"Adherenslösning i farynx"	""	""	""	""	""	""
"ENC70"	"ENC"	"Endoskopisk divertikulohypofaryngostomi"	""	""	""	""	"Endoskopisk divertikuloesofagostomi, se JCA12"	""
"ENC99"	"ENC"	"Annan rekonstruktion av farynx eller närliggande mjukdelar"	""	""	""	""	""	""
"ENW"	"EN"	"Andra operationer på svalget och närliggande mjukdelar"	""	""	""	""	""	""
"ENW99"	"ENW"	"Annan operation på farynx eller närliggande mjukdelar"	""	""	""	""	""	""
"EW"	"E"	"Reoperationer på läppar, tänder, käkar, munnen och svalget"	""	""	""	""	""	""
"EWA"	"EW"	"Reoperation för sårruptur efter ingrepp på läppar, tänder, käkar, munnen och svalget"	""	""	""	""	""	""
"EWA00"	"EWA"	"Reoperation för sårruptur efter ingrepp på läppar, tänder, käkar, munnen eller svalget"	""	""	""	""	""	""
"EWB"	"EW"	"Reoperation för ytlig infektion efter ingrepp på läppar, tänder, käkar, munnen och svalget"	""	""	""	"Sårinfektion"	""	""
"EWB00"	"EWB"	"Reoperation för ytlig infektion efter ingrepp på läppar, tänder, käkar, munnen eller svalget"	""	""	""	""	""	""
"EWC"	"EW"	"Reoperation för djup infektion efter ingrepp på läppar, tänder, käkar, munnen och svalget"	""	""	""	""	""	""
"EWC00"	"EWC"	"Reoperation för djup infektion efter ingrepp på läppar, tänder, käkar, munnen eller svalget"	""	""	""	""	""	""
"EWD"	"EW"	"Reoperation för ytlig blödning efter ingrepp på läppar, tänder, käkar, munnen och svalget"	""	""	""	""	""	""
"EWD00"	"EWD"	"Reoperation för ytlig blödning efter ingrepp på läppar, tänder, käkar, munnen eller svalget"	""	""	""	""	""	""
"EWE"	"EW"	"Reoperation för djup blödning efter ingrepp på läppar, tänder, käkar, munnen och svalget"	""	""	""	""	""	""
"EWE00"	"EWE"	"Reoperation för djup blödning efter ingrepp på läppar, tänder, käkar, munnen eller svalget"	""	""	""	""	""	""
"EWF"	"EW"	"Reoperation för anastomos- och suturinsufficiens efter ingrepp på läppar, tänder, käkar, munnen och svalget"	""	""	""	""	""	""
"EWF00"	"EWF"	"Reoperation för anastomos- eller suturinsufficiens efter ingrepp på läppar, tänder, käkar, munnen eller svalget"	""	""	""	""	""	""
"EWW"	"EW"	"Annan reoperation på läppar, tänder, käkar, munnen och svalget"	""	""	""	""	""	""
"EWW99"	"EWW"	"Annan reoperation på läpp, tand, käke, munnen eller svalget"	""	""	""	""	""	""
"F"	""	"Operationer på hjärtat och stora intratorakala kärl"	"A-V = Atrio-Ventriculare (atrio-ventrikulär)"	""	""	""	"Punktion, punktionsbiopsi och andra mindre ingrepp, se TF"	""
"F"	""	""	"ASD = Atrial septal defect (förmaksseptumdefekt)"	""	""	""	""	""
"F"	""	""	"DOLV = Double outlet left ventricle (dubbelt utflöde från vänster hjärtkammare)"	""	""	""	""	""
"F"	""	""	"DORV = Double outlet right ventricle (dubbelt utflöde från höger hjärtkammare)"	""	""	""	""	""
"F"	""	""	"HLHS = Hypoplastic left heart syndrome (syndrom med hypoplastisk vänsterkammare)"	""	""	""	""	""
"F"	""	""	"IAA = Interrupted aortic arch (avbruten aortabåge)"	""	""	""	""	""
"F"	""	""	"MAPCA = Multiple anomalous pulmonary collateral arteries (multipla kollateraler mellan aorta och a. pulmonalis)"	""	""	""	""	""
"F"	""	""	"TAPVD = Totalt anomalt lungvendränage"	""	""	""	""	""
"F"	""	""	"TGA = Transposition of the great arteries (transposition av aorta och a. pulmonalis)"	""	""	""	""	""
"F"	""	""	"VSD = Ventricular septal defect (kammarseptumdefekt)"	""	""	""	""	""
"F"	""	""	"WPW = Wolff-Parkinson-White syndrome (Wolff-Parkinson-Whites syndrom)"	""	""	""	""	""
"FA"	"F"	"Operationer på stora intratorakala vener"	"ASD = Atrial septal defect (förmaksseptumdefekt)"	""	""	""	"Operationer på andra torakala vener, se PH"	""
"FA"	""	""	""	""	""	""	"Operationer på förmak eller förmaksseptum, se FFA-FFW"	""
"FA"	""	""	""	""	""	""	"Operationer på lungvener, se FFF-FFH"	""
"FAA"	"FA"	"Suturer och rekonstruktioner av intratorakala vena cava"	""	""	"T.ex. vid skada"	""	""	""
"FAA00"	"FAA"	"Sutur av intratorakala vena cava"	""	""	""	""	""	""
"FAA10"	"FAA"	"Sutur eller rekonstruktion av intratorakala vena cava med implantat"	""	""	""	""	""	""
"FAA96"	"FAA"	"Annan sutur eller rekonstruktion av intratorakala vena cava"	""	""	""	""	""	""
"FAB"	"FA"	"Incisioner i och excisioner av vena cava"	""	""	""	"Avlägsnande av fastsittande innehåll"	""	""
"FAB00"	"FAB"	"Incision i intratorakala vena cava"	""	""	""	""	""	""
"FAB10"	"FAB"	"Trombektomi i intratorakala vena cava"	""	""	""	""	""	""
"FAB20"	"FAB"	"Avlägsnande av främmande kropp från intratorakala vena cava"	""	""	""	""	""	""
"FAB22"	"FAB"	"Perkutant transluminalt avlägsnande av främmande kropp från intratorakala vena cava"	""	""	""	""	""	""
"FAB30"	"FAB"	"Exstirpation av patologisk förändring i intratorakala vena cava"	""	""	""	""	""	""
"FAB96"	"FAB"	"Annan incision i eller excision av intratorakala vena cava"	""	""	""	""	""	""
"FAC"	"FA"	"Resektioner, rekonstruktioner och ligaturer av intratorakala vena cava"	""	""	""	"Rekonstruktion med implantat"	""	""
"FAC00"	"FAC"	"Resektion eller ligatur av intratorakala vena cava"	""	""	""	""	""	""
"FAC10"	"FAC"	"Resektion och rekonstruktion av intratorakala vena cava med autologt ventransplantat"	""	""	""	""	""	""
"FAC20"	"FAC"	"Resektion och rekonstruktion av intratorakala vena cava med protes"	""	""	""	""	""	""
"FAC22"	"FAC"	"Perkutan transluminal angioplastik av intratorakala vena cava"	""	""	""	""	""	""
"FAC25"	"FAC"	"Perkutan transluminal angioplastik av intratorakala vena cava med inläggande av stent"	""	""	""	""	""	""
"FAC96"	"FAC"	"Annan resektion, rekonstruktion eller ligatur av intratorakala vena cava"	""	""	""	""	""	""
"FAD"	"FA"	"Bypass-operationer på intratorakala vena cava"	""	""	""	""	""	""
"FAD00"	"FAD"	"Bypass-operation på intratorakala vena cava med autologt ventransplantat"	""	""	""	""	""	""
"FAD10"	"FAD"	"Bypass-operation på intratorakala vena cava med rörprotes"	""	""	""	""	""	""
"FAD96"	"FAD"	"Annan bypass-operation på intratorakala vena cava"	""	""	""	""	""	""
"FAE"	"FA"	"Cavo-pulmonala anastomosoperationer"	""	""	""	""	""	"Övriga Fontanoperationer, se FFK"
"FAE00"	"FAE"	"Anastomos mellan vena cava superior och a. pulmonalis"	""	""	""	"Glenn"	""	""
"FAE10"	"FAE"	"Bidirektionell shunt mellan vena cava superior och a. pulmonalis"	""	""	""	"Slutning av a. pulmonalis huvudstam"	""	""
"FAE20"	"FAE"	"Total cavopulmonal förbindelse"	""	""	""	"Fontan (modifierad)"	""	""
"FAE20"	""	""	""	""	""	"Konstruktion av intraatrial conduit eller slutning av ASD"	""	""
"FAE30"	"FAE"	"Total cavopulmonal förbindelse med fenestrerad patch"	""	""	""	"Fontan (fenestrerad)"	""	""
"FAE40"	"FAE"	"Total cavopulmonal extrakardiell förbindelse"	""	""	""	""	""	""
"FAE50"	"FAE"	"Total extrakardiell cavopulmonal förbindelse med shunt till atrium"	""	""	""	"Med extrakardiell shunt eller fenestrering"	"Atrial anastomosoperation, se FFK"	""
"FAE96"	"FAE"	"Annan cavopulmonal anastomosoperation"	""	""	""	""	""	""
"FAF"	"FA"	"Operationer efter anläggande av cavopulmonal förbindelse"	""	""	""	""	""	""
"FAF00"	"FAF"	"Fenestrering av total cavopulmonal förbindelse"	""	""	""	""	""	""
"FAF10"	"FAF"	"Slutning av fenestrering vid cavopulmonal förbindelse"	""	""	""	""	""	""
"FAF12"	"FAF"	"Perkutan transluminal slutning av fenestrering vid cavopulmonal förbindelse"	""	""	""	"Användning av ockluderande produkt"	""	""
"FAF20"	"FAF"	"Slutning av cavopulmonal anastomos"	""	""	""	"Återöppnande av förmaksseptumdefekt (ASD)"	"Subklaviopulmonal och aortopulmonal förbindelse, se FBJ, FBL"	""
"FAF96"	"FAF"	"Annan operation efter anläggande av cavopulmonal förbindelse"	""	""	""	""	""	""
"FAW"	"FA"	"Andra operationer på intratorakala vener"	""	""	""	""	""	""
"FAW96"	"FAW"	"Annan operation på intratorakal ven"	""	""	""	""	""	""
"FB"	"F"	"Operationer på a. pulmonalis och dess grenar"	"MAPCA = Multiple anomalous pulmonary collateral arteries (multipla kollateraler mellan aorta och a.pulmonalis)"	""	""	""	"Operationer på pulmonalisklaffen, se FJ"	""
"FB"	""	""	""	""	""	""	"Slutning av aortopulmonala kollateraler, se FDF"	""
"FBA"	"FB"	"Suturer och rekonstruktioner av a. pulmonalis"	""	""	"Vid t.ex. skada"	"Implantat"	""	""
"FBA00"	"FBA"	"Sutur av a. pulmonalis"	""	""	""	""	""	""
"FBA10"	"FBA"	"Rekonstruktion av a. pulmonalis med implantat"	""	""	""	""	""	""
"FBA96"	"FBA"	"Annan sutur eller rekonstruktion av a. pulmonalis"	""	""	""	""	""	""
"FBB"	"FB"	"Incisioner i a. pulmonalis"	""	""	""	"Avlägsnande av fastsittande innehåll"	""	""
"FBB00"	"FBB"	"Incision i a. pulmonalis"	""	""	""	""	""	""
"FBB10"	"FBB"	"Transarteriell extraktion av lungemboli"	""	""	""	""	""	""
"FBB20"	"FBB"	"Trombendartärektomi i a. pulmonalis vid kronisk obstruktion"	""	""	""	""	""	""
"FBB50"	"FBB"	"Avlägsnande av främmande kropp från a. pulmonalis eller dess grenar"	""	""	""	""	""	""
"FBB52"	"FBB"	"Perkutant transluminalt avlägsnande av främmande kropp från a. pulmonalis"	""	""	""	""	""	""
"FBB96"	"FBB"	"Annan incision i a. pulmonalis"	""	""	""	""	""	""
"FBC"	"FB"	"Bandningsoperationer på a. pulmonalis"	""	""	""	""	""	""
"FBC00"	"FBC"	"Bandning av a. pulmonalis"	""	""	"Utan samtidigt annat ingrepp"	""	""	""
"FBC10"	"FBC"	"Bandning av a. pulmonalis tillsammans med annat ingrepp för medfött hjärtfel"	""	""	""	""	""	""
"FBC96"	"FBC"	"Annan bandningsoperation på a. pulmonalis"	""	""	""	""	""	""
"FBD"	"FB"	"Operationer med avlägsnande av band från a. pulmonalis"	""	""	""	""	""	""
"FBD00"	"FBD"	"Avlägsnande av band från a. pulmonalis"	""	""	""	""	""	""
"FBD10"	"FBD"	"Avlägsnande av band från och dilatation av a. pulmonalis"	""	""	""	""	""	""
"FBD12"	"FBD"	"Perkutan transluminal bandsprängning och dilatation av a. pulmonalis"	""	""	""	""	""	""
"FBD20"	"FBD"	"Avlägsnande av band från och rekonstruktion av a. pulmonalis"	""	""	""	"Implantat"	""	""
"FBD96"	"FBD"	"Annan operation med avlägsnande av band från a. pulmonalis"	""	""	""	""	""	""
"FBE"	"FB"	"Vidgningar och rekonstruktioner av a. pulmonalis"	""	""	""	""	""	""
"FBE00"	"FBE"	"Vidgning av a. pulmonalis"	""	""	""	""	""	""
"FBE10"	"FBE"	"Vidgning eller rekonstruktion av a. pulmonalis (ev. med implantat)"	""	""	""	""	""	""
"FBE20"	"FBE"	"Rekonstruktion av a. pulmonalis med rörformad protes"	""	""	""	""	""	""
"FBE32"	"FBE"	"Perkutan transluminal angioplastik av a. pulmonalis"	""	""	""	""	""	""
"FBE35"	"FBE"	"Perkutan transluminal angioplastik av a. pulmonalis med inläggande av stent"	""	""	""	""	""	""
"FBE42"	"FBE"	"Perkutan transluminal rekanalisering av a. pulmonalis"	""	""	""	""	""	"Tilläggskoder för specifikation av teknik, se ZFX, ZXC"
"FBE96"	"FBE"	"Annan vidgning eller rekonstruktion av a. pulmonalis"	""	""	""	""	""	""
"FBF"	"FB"	"Reduktioner av a. pulmonalis"	""	""	"Vid t.ex. aneurysm"	""	""	""
"FBF00"	"FBF"	"Resektion av a. pulmonalis"	""	""	""	""	""	""
"FBF10"	"FBF"	"Resektion och rekonstruktion av a. pulmonalis med transplantat"	""	""	""	""	""	""
"FBF20"	"FBF"	"Resektion av a. pulmonalis med rekonstruktion av luftvägar"	""	""	""	"Användning av transplantat"	""	""
"FBF96"	"FBF"	"Annan reduktion av a. pulmonalis"	""	""	""	""	""	""
"FBG"	"FB"	"Unifokalisering vid MAPCA med implantat i a. pulmonalis eller protes"	""	""	"Vid t.ex. pulmonalisatresi"	""	""	""
"FBG00"	"FBG"	"Anastomos till a. pulmonalis från MAPCA"	""	""	""	""	""	""
"FBG10"	"FBG"	"Anastomos till protes från MAPCA"	""	""	""	""	""	""
"FBG96"	"FBG"	"Annan unifokalisering vid MAPCA"	""	""	""	""	""	""
"FBH"	"FB"	"Rekonstruktioner vid pulmonal kärlslynga"	""	""	""	"Rekonstruktion av luftvägar"	""	""
"FBH00"	"FBH"	"Transponering av pulmonal kärlslynga"	""	""	""	""	""	""
"FBH10"	"FBH"	"Transponering med delning av luftväg"	""	""	""	""	""	""
"FBH96"	"FBH"	"Annan rekonstruktion vid pulmonal kärlslynga"	""	""	""	""	""	""
"FBJ"	"FB"	"Subklaviopulmonala shuntoperationer"	""	""	""	""	""	""
"FBJ00"	"FBJ"	"Subklaviopulmonal shunt"	""	""	""	"Blalock-Taussig"	""	""
"FBJ10"	"FBJ"	"Subklaviopulmonal shunt med kärlprotes"	""	""	""	""	""	""
"FBJ96"	"FBJ"	"Annan subklaviopulmonal shuntoperation"	""	""	""	""	""	""
"FBK"	"FB"	"Slutning av subklaviopulmonal anastomos"	""	""	""	"Delning av artär eller interponerat graft"	""	""
"FBK03"	"FBK"	"Slutning av subklaviopulmonal anastomos"	""	""	""	""	""	""
"FBK13"	"FBK"	"Slutning av subklaviopulmonal anastomos med rekonstruktion av a. pulmonalis"	""	""	""	""	""	""
"FBK96"	"FBK"	"Annan operation för slutning av subklaviopulmonal shunt"	""	""	""	""	""	""
"FBL"	"FB"	"Aortopulmonala anastomoser och shuntar"	""	""	""	"Användning av implantat"	""	""
"FBL00"	"FBL"	"Anastomos mellan aorta ascendens och a. pulmonalis huvudstam"	""	""	""	""	""	""
"FBL10"	"FBL"	"Aortopulmonal anastomos"	""	""	""	"Waterston"	""	""
"FBL20"	"FBL"	"Distal aortopulmonal anastomos"	""	""	""	"Potts"	""	""
"FBL30"	"FBL"	"Aortopulmonal shunt med kärlprotes"	""	""	""	""	""	""
"FBL40"	"FBL"	"Aortopulmonal anastomos eller shunt vid univentrikulära hjärtmissbildningar"	""	""	""	"Damus-Kaye-Stanzel eller liknande"	""	""
"FBL50"	"FBL"	"Aortopulmonal anastomos med delning av a. pulmonalis"	""	""	""	"Mee"	""	""
"FBL96"	"FBL"	"Annan aortopulmonal anastomos eller shunt"	""	""	""	""	""	""
"FBM"	"FB"	"Slutning eller delning av anlagda aortopulmonala anastomoser och shuntar"	""	""	""	""	""	""
"FBM00"	"FBM"	"Slutning av central aortopulmonal anastomos"	""	""	""	""	""	""
"FBM10"	"FBM"	"Slutning av aortopulmonal shunt"	""	""	""	"Waterston"	""	""
"FBM20"	"FBM"	"Slutning av distal aortopulmonal shunt"	""	""	""	"Potts"	""	""
"FBM30"	"FBM"	"Slutning av aortopulmonal protesshunt"	""	""	""	""	""	""
"FBM96"	"FBM"	"Annan slutning eller delning av anlagd aortopulmonal anastomos eller shunt"	""	""	""	""	""	""
"FBN"	"FB"	"Operationer för fistel från a. pulmonalis"	""	""	""	""	""	""
